Phenotype,Collapsing model,Phenotypic category,P value,No. samples,No. with QV,No. without QV,QV carrier median,QV non-carrier median,Effect size,Effect size standard error,Effect size LCI,Effect size UCI
1072#2169#PSG1#P11464#OID20916#v1#Neurology,syn,OLINK Proteomics,0.00365337654194959,44914,147,44767,0.131840345607499,-0.00135805207653136,0.233541812564603,0.0803435647908874,0.0760670736836554,0.39101655144555
1072#1948#OSM#P13725#OID20574#v1#Inflammation,syn,OLINK Proteomics,0.0429307655015973,44981,145,44836,-0.23200094940108,0.0143746035588197,-0.165559044054474,0.0817801550998369,-0.325849517673855,-0.00526857043509385
1072#840#DNPEP#Q9ULA0#OID31118#v1#NeurologyII,syn,OLINK Proteomics,0.0348931664576437,45493,149,45344,-0.243341340832359,0.00129182011913515,-0.170326933520948,0.0807367037271725,-0.328572177010128,-0.0120816900317684
1072#779#DCUN1D2#Q6PH85#OID31231#v1#OncologyII,syn,OLINK Proteomics,0.0370792367489433,44039,145,43894,0.161308390585713,0.00714730048903028,0.173700888136023,0.0833116221323852,0.0104086194149994,0.336993156857047
25329#Mean L3 in external capsule on FA skeleton (left),syn,Chapter VI Diseases of the nervous system,0.0464330482723416,34972,113,34859,-0.283586163432785,0.00188677709123755,-0.174862684281947,0.0878042452690043,-0.346961799647338,-0.00276356891655588
25693#Weighted-mean OD in tract middle cerebellar peduncle,syn,Chapter VI Diseases of the nervous system,0.0519037883713031,34969,113,34856,0.302497778997783,-0.00566077725821079,0.179457732685497,0.0923137771152924,-0.00148020916561023,0.360395674536605
1072#260#BID#P55957#OID20517#v1#Inflammation,syn,OLINK Proteomics,0.0823622780466277,45190,145,45045,-0.162451945344974,0.00223310167914534,-0.14262924243829,0.0821039093985574,-0.303554259860925,0.0182957749843453
23540#NMR Cholesterol in Medium LDL,syn,NMR Metabolomics,0.0345948018250563,99845,330,99515,0.063785031724814,-0.000301255565381636,0.11148983846704,0.0527612910907844,0.00807833251316518,0.214901344420914
1072#750#CXCL8#P10145#OID20631#v1#Inflammation,syn,OLINK Proteomics,0.0752090711120314,43868,140,43728,0.109788266119928,0.0000758799243523976,0.146642973960767,0.0824193703518706,-0.0149004826420999,0.308186430563634
1072#634#COL4A1#P02462#OID20208#v1#Cardiometabolic,syn,OLINK Proteomics,0.0891225931549335,45276,149,45127,0.168953775832794,0.0178160867536544,0.137285488395237,0.0807523299645834,-0.0209904029717636,0.295561379762237
1072#1188#GNLY#P22749#OID21132#v1#Neurology,syn,OLINK Proteomics,0.017538296006163,45260,150,45110,0.249794664051553,-0.0227994321656708,0.190210699377563,0.080078218385319,0.0332560762792606,0.347165322475866
1072#1938#OLR1#P78380#OID20183#v1#Cardiometabolic,syn,OLINK Proteomics,0.0158698408590847,44844,148,44696,-0.161981441701135,0.00969846347033877,-0.195456076402132,0.0810352962297855,-0.354286627229806,-0.0366255255744589
