Phenotype,Collapsing model,Phenotypic category,P value,No. samples,No. cases,No. cases with QV,Proportion cases with QV,No. controls,No. controls with QV,Proportion controls with QV,Odds ratio,Odds ratio LCI,Odds ratio UCI
41202#M771#Lateral epicondylitis,raredmgmtr,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0188,298318,708,6,0.00847457627118644,297610,865,0.00290648835724606,2.9321,1.3092,6.5671
union#Block M15-M19#M15-M19 Arthrosis,raredmgmtr,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0389,201965,78487,266,0.00338909628346096,123478,353,0.00285880885663843,1.1861,1.0114,1.3911
41202#Z400#Prophylactic surgery for risk-factors related to malignant neoplasms,raredmgmtr,Chapter XXI Factors influencing health status and contact with health services,0.002,197757,746,8,0.0107238605898123,197011,580,0.00294399805087026,3.6713,1.8204,7.4038
union#M215#Acquired clawhand clubhand clawfoot and clubfoot,raredmgmtr,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0904,107286,180,2,0.0111111111111111,107106,297,0.00277295389614027,4.0407,0.9981,16.3588
41202#M858#Other specified disorders of bone density and structure,raredmgmtr,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0358,193651,256,3,0.01171875,193395,539,0.00278704206416919,4.2427,1.355,13.285
40002#I258#Other forms of chronic ischaemic heart disease,raredmgmtr,Chapter IX Diseases of the circulatory system,0.0944,226611,33,1,0.0303030303030303,226578,679,0.00299676049748872,10.3967,1.4186,76.1954
130345#Source of report of B99 other and unspecified infectious diseases,raredmgmtr,Chapter I Certain infectious and parasitic diseases,0.0666,419387,954,6,0.00628930817610063,418433,1235,0.0029514880518506,2.1381,0.9562,4.7804
41202#N489#Disorder of penis unspecified,raredmgmtr,Chapter XIV Diseases of the genitourinary system,0.0286,157364,86,2,0.0232558139534884,157278,477,0.00303284629763858,7.8267,1.92,31.9048
131895#Source of report of M32 systemic lupus erythematosus,raredmgmtr,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0923,268027,799,5,0.00625782227784731,267228,792,0.00296376128250034,2.1184,0.8769,5.1179
41202#I618#Other intracerebral haemorrhage,raredmgmtr,Chapter IX Diseases of the circulatory system,0.0674,322463,147,2,0.0136054421768707,322316,925,0.0028698544285732,4.7924,1.1854,19.3749
41202#M4797#Spondylosis unspecified Lumbosacral region,raredmgmtr,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0018,297785,175,4,0.0228571428571429,297610,865,0.00290648835724606,8.0247,2.971,21.6752
union#Z42#Follow-up care involving plastic surgery,raredmgmtr,Chapter XXI Factors influencing health status and contact with health services,0.0912,98265,3145,4,0.00127186009538951,95120,284,0.00298570227081581,0.4253,0.1584,1.1416
40002#C509#Malignant neoplasm: Breast unspecified,raredmgmtr,Chapter II Neoplasms,0.0669,173403,148,2,0.0135135135135135,173255,491,0.00283397304551095,4.82,1.1907,19.511
41202#M7962#Pain in limb Upper arm,raredmgmtr,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0524,297897,287,3,0.0104529616724739,297610,865,0.00290648835724606,3.6239,1.1595,11.3255
42005#Source of NSTEMI report,raredmgmtr,Chapter IX Diseases of the circulatory system,0.0587,269362,9936,40,0.00402576489533011,259426,757,0.00291798046456408,1.3812,1.0043,1.8994
41202#Block I20-I25#I20-I25 Ischaemic heart diseases,raredmgmtr,Chapter IX Diseases of the circulatory system,0.0489,233414,34179,117,0.00342315456859475,199235,555,0.0027856551308756,1.2296,1.007,1.5015
union#I214#Acute subendocardial myocardial infarction,raredmgmtr,Chapter IX Diseases of the circulatory system,0.0822,111554,4399,19,0.00431916344623778,107155,302,0.00281834725397788,1.5348,0.9645,2.4424
41202#I748#Embolism and thrombosis of other arteries,raredmgmtr,Chapter IX Diseases of the circulatory system,0.0827,322346,30,1,0.0333333333333333,322316,925,0.0028698544285732,11.981,1.6303,88.0474
union#Z400#Prophylactic surgery for risk-factors related to malignant neoplasms,raredmgmtr,Chapter XXI Factors influencing health status and contact with health services,0.0057,89803,874,8,0.0091533180778032,88929,265,0.00297990531772538,3.0908,1.5249,6.2649
41202#G573#Lesion of lateral popliteal nerve,raredmgmtr,Chapter VI Diseases of the nervous system,0.0842,384085,30,1,0.0333333333333333,384055,1123,0.0029240603559386,11.7583,1.6003,86.3946
union#Z822#Family history of deafness and hearing loss,raredmgmtr,Chapter XXI Factors influencing health status and contact with health services,0.0907,154605,33,1,0.0303030303030303,154572,444,0.00287244779132055,10.848,1.4791,79.5628
union#C93#Monocytic leukaemia,raredmgmtr,Chapter II Neoplasms,0.0467,183132,112,2,0.0178571428571429,183020,559,0.00305431100426183,5.9347,1.4621,24.0887
132313#Source of report of O99 other maternal DCE but complicating pregnancy childbirth and puerperium,raredmgmtr,Chapter XV Pregnancy childbirth and the puerperium,0.0315,226095,1954,11,0.00562947799385875,224141,639,0.00285088404174158,1.9802,1.0892,3.5998
union#E788#Other disorders of lipoprotein metabolism,raredmgmtr,Chapter IV Endocrine nutritional and metabolic diseases,0.0711,173174,309,3,0.00970873786407767,172865,530,0.00306597633991843,3.1878,1.0192,9.971
union#M6624#Spontaneous rupture of extensor tendons Hand,raredmgmtr,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0439,116776,116,2,0.0172413793103448,116660,332,0.00284587690725184,6.1471,1.5126,24.9821
union#D15#Benign neoplasm of other and unspecified intrathoracic organs,raredmgmtr,Chapter II Neoplasms,0.0755,217055,146,2,0.0136986301369863,216909,669,0.00308424270085612,4.4893,1.1097,18.161
union#K51#Ulcerative colitis,raredmgmtr,Chapter XI Diseases of the digestive system,0.0091,144926,5415,6,0.00110803324099723,139511,411,0.00294600425772878,0.3754,0.1676,0.8409
union#K566#Other and unspecified intestinal obstruction,raredmgmtr,Chapter XI Diseases of the digestive system,0.071,157671,3915,18,0.00459770114942529,153756,449,0.00292021124378886,1.5771,0.9835,2.5289
20002#1472#emphysema,raredmgmtr,Chapter X Diseases of the respiratory system,0.0918,234085,170,2,0.0117647058823529,233915,695,0.00297116473932839,3.9949,0.9889,16.1376
union#Block I30-I52#I30-I52 Other forms of heart disease,raredmgmtr,Chapter IX Diseases of the circulatory system,0.0734,182390,60350,207,0.00342999171499586,122040,358,0.00293346443788922,1.1698,0.9856,1.3886
41202#ChapterIX#Chapter IX Diseases of the circulatory system,raredmgmtr,Chapter IX Diseases of the circulatory system,0.0961,340707,97071,316,0.00325534917740623,243636,708,0.00290597448652908,1.1206,0.9812,1.2798
union#M6534#M6534 Trigger finger-Hand,raredmgmtr,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0842,116854,1120,0,0,115734,337,0.0029118495861199,0,,
131149#Source of report of H15 disorders of sclera,raredmgmtr,Chapter VII Diseases of the eye and adnexa,0.0048,353071,1090,9,0.00825688073394496,351981,1005,0.00285526775593001,2.9076,1.5043,5.6197
union#H610#Perichondritis of external ear,raredmgmtr,Chapter VIII Diseases of the ear and mastoid process,0.0633,145809,521,4,0.00767754318618042,145288,412,0.00283574693023512,2.7206,1.0124,7.311
union#M47#Spondylosis,raredmgmtr,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.052,150226,29663,107,0.00360718740518491,120563,350,0.00290304653998325,1.2434,1.001,1.5446
41202#J986#Disorders of diaphragm,raredmgmtr,Chapter X Diseases of the respiratory system,0.006,372712,39,2,0.0512820512820513,372673,1098,0.00294628266603698,18.2925,4.4033,75.9911
union#C433#Malignant neoplasm: Malignant melanoma of other and unspecified parts of face,raredmgmtr,Chapter II Neoplasms,0.0045,234544,490,6,0.0122448979591837,234054,719,0.00307194066326574,4.0231,1.7925,9.0293
union#M791#Myalgia,raredmgmtr,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.049,126435,1151,7,0.00608166811468289,125284,354,0.0028255802816002,2.1594,1.0197,4.5731
23067#MCV seropositivity for Merkel Cell Polyomavirus,raredmgmtr,Chapter I Certain infectious and parasitic diseases,0.0285,8098,5327,10,0.0018772292096865,2771,13,0.00469144713099964,0.399,0.1747,0.9111
union#D75#Other diseases of blood and blood-forming organs,raredmgmtr,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.0601,329293,2462,13,0.00528025995125914,326831,980,0.00299849157515658,1.765,1.0197,3.0551
40006#C54#Malignant neoplasm of corpus uteri,raredmgmtr,Chapter II Neoplasms,0.0885,174105,2021,10,0.0049480455220188,172084,488,0.00283582436484508,1.7485,0.9334,3.2754
41202#M5455#Low back pain Thoracolumbar region,raredmgmtr,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0181,214563,72,2,0.0277777777777778,214491,609,0.00283927996978894,10.0343,2.4551,41.0114
41202#R071#Chest pain on breathing,raredmgmtr,Chapter XVIII Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified,0.0571,265143,285,3,0.0105263157894737,264858,803,0.0030318132735277,3.4983,1.1191,10.9351
131477#Source of report of J36 peritonsillar abscess,raredmgmtr,Chapter X Diseases of the respiratory system,0.03,344016,792,6,0.00757575757575758,343224,996,0.00290189497237955,2.6229,1.1719,5.8703
union#R457#State of emotional shock and stress unspecified,raredmgmtr,Chapter XVIII Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified,0.0072,120364,43,2,0.0465116279069768,120321,351,0.0029171964993642,16.6729,4.0172,69.1984
41202#K92#Other diseases of digestive system,raredmgmtr,Chapter XI Diseases of the digestive system,0.0522,213766,11370,23,0.00202286719437115,202396,621,0.00306824245538449,0.6586,0.4342,0.999
41202#A412#Sepsis due to unspecified staphylococcus,raredmgmtr,Chapter I Certain infectious and parasitic diseases,0.0879,282230,31,1,0.032258064516129,282199,835,0.0029589048862682,11.2321,1.5299,82.4615
41202#C880#Waldenstrom's macroglobulinaemia,raredmgmtr,Chapter II Neoplasms,0.0502,240980,117,2,0.0170940170940171,240863,734,0.00304737547900674,5.6896,1.4033,23.0679
union#R233#Spontaneous ecchymoses,raredmgmtr,Chapter XVIII Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified,0.047,89045,269,3,0.0111524163568773,88776,262,0.00295124808506804,3.8102,1.2132,11.9664
132083#Source of report of N45 orchitis and epididymitis,raredmgmtr,Chapter XIV Diseases of the genitourinary system,0.0205,193365,2644,15,0.0056732223903177,190721,576,0.00302011839283561,1.8835,1.1264,3.1493
41202#H66#Suppurative and unspecified otitis media,raredmgmtr,Chapter VIII Diseases of the ear and mastoid process,0.0208,376219,710,6,0.00845070422535211,375509,1115,0.00296930299939549,2.8618,1.2785,6.4055
41202#N750#Cyst of Bartholin gland,raredmgmtr,Chapter XIV Diseases of the genitourinary system,0.0032,158942,334,5,0.0149700598802395,158608,459,0.00289392716634722,5.2363,2.1548,12.7246
41202#D110#Benign neoplasm: Parotid gland,raredmgmtr,Chapter II Neoplasms,0.0802,274240,528,4,0.00757575757575758,273712,834,0.00304699830478751,2.4976,0.9317,6.6955
union#N602#Fibroadenosis of breast,raredmgmtr,Chapter XIV Diseases of the genitourinary system,0.0905,91602,371,3,0.00808625336927224,91231,258,0.0028279861012156,2.8745,0.9168,9.0128
union#M13#Other arthritis,raredmgmtr,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0235,152496,35628,128,0.00359267991467385,116868,331,0.00283225519389397,1.2695,1.0348,1.5573
union#H590#Keratopathy (bullous aphakic) following cataract surgery,raredmgmtr,Chapter VII Diseases of the eye and adnexa,0.092,264646,32,1,0.03125,264614,796,0.00300815527523109,10.6913,1.4577,78.4142
41202#Block N00-N08#N00-N08 Glomerular diseases,raredmgmtr,Chapter XIV Diseases of the genitourinary system,0.0541,284773,1111,7,0.0063006300630063,283662,853,0.00300709999929494,2.1022,0.9968,4.4334
union#D057#Other carcinoma in situ of breast,raredmgmtr,Chapter II Neoplasms,0.0194,135317,191,3,0.0157068062827225,135126,396,0.00293059810843213,5.4292,1.7279,17.0584
41202#B15#Acute hepatitis A,raredmgmtr,Chapter I Certain infectious and parasitic diseases,0.0894,395717,32,1,0.03125,395685,1156,0.00292151585225621,11.0093,1.5016,80.7161
union#G83#Other paralytic syndromes,raredmgmtr,Chapter VI Diseases of the nervous system,0.0054,260861,1247,10,0.00801924619085806,259614,781,0.00300831234062878,2.6792,1.4322,5.0116
41202#M1993#Arthrosis unspecified Forearm,raredmgmtr,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0825,265514,351,3,0.00854700854700855,265163,764,0.00288124662943171,2.9834,0.9554,9.3161
union#G834#Cauda equina syndrome,raredmgmtr,Chapter VI Diseases of the nervous system,0.0327,277476,398,4,0.0100502512562814,277078,827,0.00298471910436772,3.3913,1.2635,9.1023
union#L66#Cicatricial alopecia [scarring hair loss],raredmgmtr,Chapter XII Diseases of the skin and subcutaneous tissue,0.0966,141643,176,2,0.0113636363636364,141467,418,0.00295475269850919,3.8786,0.9592,15.6841
41202#Block B25-B34#B25-B34 Other viral diseases,raredmgmtr,Chapter I Certain infectious and parasitic diseases,0.0017,367448,2090,15,0.00717703349282297,365358,1065,0.00291494917313977,2.4727,1.4827,4.1237
40001#I61#Intracerebral haemorrhage,raredmgmtr,Chapter IX Diseases of the circulatory system,0.0838,357568,343,3,0.0087463556851312,357225,1061,0.00297011687311918,2.9619,0.949,9.2445
union#Z121#Special screening examination for neoplasm of intestinal tract,raredmgmtr,Chapter XXI Factors influencing health status and contact with health services,0.0414,167342,12770,50,0.00391542678151919,154572,444,0.00287244779132055,1.3645,1.018,1.8289
41202#M774#Metatarsalgia,raredmgmtr,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0399,194137,264,3,0.0113636363636364,193873,547,0.00282143465051864,4.0624,1.2977,12.7172
union#K088#Other specified disorders of teeth and supporting structures,raredmgmtr,Chapter XI Diseases of the digestive system,0.0923,160647,1164,7,0.00601374570446735,159483,471,0.00295329282744869,2.0426,0.9663,4.3177
union#K603#Anal fistula,raredmgmtr,Chapter XI Diseases of the digestive system,0.0463,106562,1537,9,0.00585556278464541,105025,296,0.00281837657700547,2.084,1.0716,4.0527
41202#C820#Follicular lymphoma grade I,raredmgmtr,Chapter II Neoplasms,0.0213,297151,74,2,0.027027027027027,297077,895,0.00301268694648189,9.1925,2.252,37.5234
union#L91#Hypertrophic disorders of skin,raredmgmtr,Chapter XII Diseases of the skin and subcutaneous tissue,0.0503,185273,4430,21,0.00474040632054176,180843,540,0.00298601549410262,1.5903,1.0273,2.4618
41202#I40#Acute myocarditis,raredmgmtr,Chapter IX Diseases of the circulatory system,0.0072,228639,43,2,0.0465116279069768,228596,671,0.00293530945423367,16.5697,3.9997,68.6437
union#M71#Other bursopathies,raredmgmtr,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0591,135258,3214,15,0.00466708151835719,132044,363,0.00274908363878707,1.701,1.0137,2.8542
41202#Q27#Other congenital malformations of peripheral vascular system,raredmgmtr,Chapter XVII Congenital malformations deformations and chromosomal abnormalities,0.0506,416306,122,2,0.0163934426229508,416184,1222,0.0029362012955808,5.6596,1.3977,22.9178
41202#N323#Diverticulum of bladder,raredmgmtr,Chapter XIV Diseases of the genitourinary system,0.0173,188380,330,4,0.0121212121212121,188050,553,0.00294070725870779,4.1602,1.5466,11.1906
union#Block J80-J84#J80-J84 Other respiratory diseases principally affecting the interstitium,raredmgmtr,Chapter X Diseases of the respiratory system,0.0483,140809,4442,21,0.00472760018009906,136367,400,0.0029332609795625,1.6146,1.0401,2.5066
union#J938#Other pneumothorax,raredmgmtr,Chapter X Diseases of the respiratory system,0.0964,137402,179,2,0.0111731843575419,137223,398,0.00290038841885107,3.8845,0.9606,15.7086
41202#K439#Other and unspecified ventral hernia without obstruction or gangrene,raredmgmtr,Chapter XI Diseases of the digestive system,0.0781,218424,3260,16,0.0049079754601227,215164,664,0.00308601810711829,1.5933,0.9692,2.6193
41202#D15#Benign neoplasm of other and unspecified intrathoracic organs,raredmgmtr,Chapter II Neoplasms,0.0493,239847,119,2,0.0168067226890756,239728,711,0.00296586130948408,5.7465,1.4175,23.2953
union#M8585#Other specified disorders of bone density and structure Pelvic region and thigh,raredmgmtr,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0047,97793,235,4,0.0170212765957447,97558,274,0.00280858566186269,6.1481,2.2719,16.6377
union#F002#Dementia in Alzheimer disease atypical or mixed type,raredmgmtr,Chapter V Mental and behavioural disorders,0.0268,207589,378,4,0.0105820105820106,207211,610,0.00294385915805628,3.6224,1.3481,9.7333
41202#M163#Other dysplastic coxarthrosis,raredmgmtr,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0823,198723,166,2,0.0120481927710843,198557,566,0.00285056683974879,4.2659,1.0553,17.2439
131923#Source of report of M50 cervical disk disorders,raredmgmtr,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0548,398156,4060,19,0.00467980295566503,394096,1146,0.00290792091267102,1.6122,1.0234,2.5396
union#G40#Epilepsy,raredmgmtr,Chapter VI Diseases of the nervous system,0.0623,269756,7184,13,0.00180957683741648,262572,793,0.00302012400408269,0.5984,0.3458,1.0358
41202#M720#Palmar fascial fibromatosis [Dupuytren],raredmgmtr,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0843,188741,5115,8,0.00156402737047898,183626,539,0.0029353141711958,0.5321,0.2646,1.0701
union#R73#Elevated blood glucose level,raredmgmtr,Chapter XVIII Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified,0.0014,86412,2499,18,0.00720288115246098,83913,253,0.00301502746892615,2.3991,1.4848,3.8763
union#Z124#Special screening examination for neoplasm of cervix,raredmgmtr,Chapter XXI Factors influencing health status and contact with health services,0.0253,83619,83,2,0.0240963855421687,83536,245,0.00293286726680713,8.3942,2.0524,34.3315
41202#M1396#Arthritis unspecified Lower leg,raredmgmtr,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.056,297905,295,3,0.0101694915254237,297610,865,0.00290648835724606,3.5246,1.1279,11.0135
union#N838#Other noninflammatory disorders of ovary fallopian tube and broad ligament,raredmgmtr,Chapter XIV Diseases of the genitourinary system,0.065,91979,748,5,0.00668449197860963,91231,258,0.0028279861012156,2.3729,0.9765,5.7663
union#H60#Otitis externa,raredmgmtr,Chapter VIII Diseases of the ear and mastoid process,0.0922,186310,18755,69,0.00367901892828579,167555,495,0.00295425382710155,1.2462,0.9683,1.6039
union#G319#Degenerative disease of nervous system unspecified,raredmgmtr,Chapter VI Diseases of the nervous system,0.0759,224971,1382,8,0.00578871201157742,223589,670,0.0029965695986833,1.9372,0.9628,3.8976
40006#Block D10-D36#D10-D36 Benign neoplasms,raredmgmtr,Chapter II Neoplasms,0.0594,276310,1277,0,0,275033,804,0.00292328556936804,0,,
union#M758#Other shoulder lesions,raredmgmtr,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0791,141551,1893,10,0.00528262017960909,139658,404,0.00289278093628722,1.8305,0.9758,3.4338
union#I110#Hypertensive heart disease with (congestive) heart failure,raredmgmtr,Chapter IX Diseases of the circulatory system,0.0924,129213,171,2,0.0116959064327485,129042,382,0.00296027649912432,3.9859,0.9851,16.1267
20002#1525#benign | essential tremor,raredmgmtr,Chapter VI Diseases of the nervous system,0.0485,385618,118,2,0.0169491525423729,385500,1143,0.00296498054474708,5.7978,1.4311,23.4883
40006#D047#Carcinoma in situ: Skin of lower limb including hip,raredmgmtr,Chapter II Neoplasms,0.0299,225952,405,4,0.00987654320987654,225547,642,0.00284641338612351,3.4945,1.3012,9.3848
union#G55#Nerve root and plexus compressions in diseases classified elsewhere,raredmgmtr,Chapter VI Diseases of the nervous system,0.0852,267600,7469,31,0.00415048868657116,260131,776,0.00298311235492886,1.393,0.9721,1.996
41202#G21#Secondary parkinsonism,raredmgmtr,Chapter VI Diseases of the nervous system,0.0895,384087,32,1,0.03125,384055,1123,0.0029240603559386,10.9997,1.5003,80.6477
41202#N13#Obstructive and reflux uropathy,raredmgmtr,Chapter XIV Diseases of the genitourinary system,0.0227,259112,3313,3,0.000905523694536674,255799,761,0.00297499208362816,0.3037,0.0977,0.9444
union#D000#Carcinoma in situ: Lip oral cavity and pharynx,raredmgmtr,Chapter II Neoplasms,0.0477,201699,112,2,0.0178571428571429,201587,623,0.00309047706449325,5.865,1.4453,23.7999
41202#N75#Diseases of Bartholin gland,raredmgmtr,Chapter XIV Diseases of the genitourinary system,0.0212,159337,729,6,0.00823045267489712,158608,459,0.00289392716634722,2.8593,1.2737,6.4191
41202#I7020#Atherosclerosis of arteries of extremities without gangrene,raredmgmtr,Chapter IX Diseases of the circulatory system,0.0469,190532,658,5,0.00759878419452888,189874,557,0.00293352433719203,2.6025,1.0754,6.2983
41202#K626#Ulcer of anus and rectum,raredmgmtr,Chapter XI Diseases of the digestive system,0.0856,238316,335,3,0.00895522388059702,237981,730,0.00306747177295666,2.9368,0.9401,9.1736
union#K520#Gastroenteritis and colitis due to radiation,raredmgmtr,Chapter XI Diseases of the digestive system,0.0761,117337,152,2,0.0131578947368421,117185,348,0.00296966335281819,4.4765,1.1049,18.1368
union#N489#Disorder of penis unspecified,raredmgmtr,Chapter XIV Diseases of the genitourinary system,0.0541,118064,121,2,0.0165289256198347,117943,362,0.00306927922810171,5.459,1.3444,22.1667
union#B34#Viral infection of unspecified site,raredmgmtr,Chapter I Certain infectious and parasitic diseases,0.015,255405,10152,44,0.00433412135539795,245253,715,0.00291535679482004,1.4888,1.0973,2.0199
131615#Source of report of K41 femoral hernia,raredmgmtr,Chapter XI Diseases of the digestive system,0.0693,325234,1368,8,0.00584795321637427,323866,947,0.00292404883501201,2.0058,0.9981,4.0309
41202#I27#Other pulmonary heart diseases,raredmgmtr,Chapter IX Diseases of the circulatory system,0.0854,261441,357,3,0.00840336134453782,261084,751,0.00287646887591733,2.9377,0.9408,9.1731
union#M721#Knuckle pads,raredmgmtr,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0914,139691,33,1,0.0303030303030303,139658,404,0.00289278093628722,10.7715,1.4683,79.019
41202#Block M65-M68#M65-M68 Disorders of synovium and tendon,raredmgmtr,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0866,265190,8977,17,0.00189372841706583,256213,737,0.00287651290137503,0.6577,0.4064,1.0642
union#M821#Osteoporosis in endocrine disorders,raredmgmtr,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0678,139804,146,2,0.0136986301369863,139658,404,0.00289278093628722,4.7873,1.1818,19.3929
41202#M139#Arthritis unspecified,raredmgmtr,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0013,252342,2045,15,0.00733496332518337,250297,728,0.00290854464895704,2.5331,1.5164,4.2315
union#D561#Beta thalassaemia,raredmgmtr,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.0964,360273,34,1,0.0294117647058824,360239,1072,0.00297580217577775,10.1528,1.3873,74.3016
union#F171#Mental and behavioural disorders due to use of tobacco; Harmful use,raredmgmtr,Chapter V Mental and behavioural disorders,0.0106,234349,20054,81,0.0040390944449985,214295,632,0.00294920553442684,1.3711,1.0874,1.7287
union#B356#Tinea inguinalis [Tinea cruris],raredmgmtr,Chapter I Certain infectious and parasitic diseases,0.0016,183779,77,3,0.038961038961039,183702,539,0.00293409979205452,13.7765,4.3299,43.8324
41202#N039#Chronic nephritic syndrome; Unspecified,raredmgmtr,Chapter XIV Diseases of the genitourinary system,0.0961,315920,34,1,0.0294117647058824,315886,936,0.00296309428084815,10.1965,1.3931,74.631
41202#I652#Occlusion and stenosis of carotid artery,raredmgmtr,Chapter IX Diseases of the circulatory system,0.0903,196717,846,5,0.00591016548463357,195871,544,0.00277733814602468,2.1347,0.8826,5.1628
131073#Source of report of G55 nerve root and plexus compressions in DCE,raredmgmtr,Chapter VI Diseases of the nervous system,0.0663,419387,7469,31,0.00415048868657116,411918,1210,0.00293747784753276,1.4147,0.9897,2.0221
40001#G90#Disorders of autonomic nervous system,raredmgmtr,Chapter VI Diseases of the nervous system,0.097,302707,35,1,0.0285714285714286,302672,880,0.0029074377544008,10.0866,1.3792,73.7681
131493#Source of report of J44 other chronic obstructive pulmonary disease,raredmgmtr,Chapter X Diseases of the respiratory system,0.0649,355930,22224,81,0.00364470842332613,333706,979,0.00293372010092716,1.2432,0.9907,1.5601
41202#Block M15-M19#M15-M19 Arthrosis,raredmgmtr,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0812,321847,46819,159,0.00339605715628271,275028,800,0.00290879474089911,1.1681,0.985,1.3852
41202#K51#Ulcerative colitis,raredmgmtr,Chapter XI Diseases of the digestive system,0.0056,200727,3313,2,0.000603682463024449,197414,597,0.00302410163412929,0.1991,0.0497,0.7985
131681#Source of report of K83 other diseases of biliary tract,raredmgmtr,Chapter XI Diseases of the digestive system,0.0753,404573,4690,7,0.00149253731343284,399883,1179,0.00294836239600083,0.5055,0.2403,1.0633
union#H663#Other chronic suppurative otitis media,raredmgmtr,Chapter VIII Diseases of the ear and mastoid process,0.012,154944,288,4,0.0138888888888889,154656,466,0.00301313883716118,4.6603,1.7298,12.5552
131107#Source of report of G83 other paralytic syndromes,raredmgmtr,Chapter VI Diseases of the nervous system,0.0048,373698,1247,10,0.00801924619085806,372451,1103,0.00296146338713012,2.7217,1.4567,5.0853
131369#Source of report of I64 stroke not specified as haemorrhage or infarction,raredmgmtr,Chapter IX Diseases of the circulatory system,0.0521,320047,8307,35,0.004213314072469,311740,924,0.00296400846859562,1.4233,1.0148,1.9961
131871#Source of report of M16 coxarthrosis arthrosis of hip,raredmgmtr,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0919,382563,23247,82,0.00352733686067019,359316,1045,0.00290830355453139,1.2136,0.9689,1.5201
41202#ChapterXVII#Chapter XVII Congenital malformations| deformations and chromosomal abnormalities,raredmgmtr,Chapter XVII Congenital malformations deformations and chromosomal abnormalities,0.0047,419387,3203,19,0.00593193880736809,416184,1222,0.0029362012955808,2.0264,1.2863,3.1922
union#Q211#Atrial septal defect,raredmgmtr,Chapter XVII Congenital malformations deformations and chromosomal abnormalities,0.0235,374402,733,6,0.00818553888130969,373669,1106,0.00295983878780418,2.7801,1.2422,6.2222
41202#Block K80-K87#K80-K87 Disorders of gallbladder| biliary tract and pancreas,raredmgmtr,Chapter XI Diseases of the digestive system,0.083,226794,23949,59,0.0024635684162178,202845,635,0.00313046907737435,0.7864,0.6021,1.0272
41202#D000#Carcinoma in situ: Lip oral cavity and pharynx,raredmgmtr,Chapter II Neoplasms,0.0094,297125,48,2,0.0416666666666667,297077,895,0.00301268694648189,14.3882,3.4874,59.3629
132023#Source of report of N13 obstructive and reflux uropathy,raredmgmtr,Chapter XIV Diseases of the genitourinary system,0.012,320288,6010,8,0.00133111480865225,314278,952,0.00302916526132914,0.4387,0.2186,0.8802
union#E038#Other specified hypothyroidism,raredmgmtr,Chapter IV Endocrine nutritional and metabolic diseases,0.0999,179670,184,2,0.0108695652173913,179486,518,0.00288601896526749,3.7967,0.9398,15.3378
union#G24#Dystonia,raredmgmtr,Chapter VI Diseases of the nervous system,0.0165,232367,1061,8,0.00754005655042413,231306,693,0.00299603123135587,2.5282,1.256,5.089
union#M8899#Paget disease of bone unspecified Site unspecified,raredmgmtr,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0077,139703,45,2,0.0444444444444444,139658,404,0.00289278093628722,16.032,3.8707,66.4029
41202#D485#Neoplasm of uncertain or unknown behaviour: Skin,raredmgmtr,Chapter II Neoplasms,0.0257,297285,208,3,0.0144230769230769,297077,895,0.00301268694648189,4.8429,1.5461,15.169
41202#M8987#Other specified disorders of bone Ankle and foot,raredmgmtr,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0203,235362,76,2,0.0263157894736842,235286,673,0.00286034868202953,9.4218,2.3082,38.4592
